,A̱oTrimestre,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,HASTA 512 kbps_Rate_of_Growth,+ 512 Kbps - 1 Mbps_Rate_of_Growth,+ 1 Mbps - 6 Mbps_Rate_of_Growth,+ 6 Mbps - 10 Mbps_Rate_of_Growth,+ 10 Mbps - 20 Mbps_Rate_of_Growth,+ 20 Mbps - 30 Mbps_Rate_of_Growth,+ 30 Mbps_Rate_of_Growth
0,2014Q1,3028.4166666666665,28714.166666666668,213762.25,12124.25,5750.75,143.75,483.125,,,,,,,
1,2014Q2,2507.5,27667.958333333332,214565.58333333334,14320.666666666666,7036.0,199.16666666666666,510.7916666666667,-17.20095759610357,-3.6435267144557026,0.37580692256624637,18.11589720326343,22.349258792331426,38.55072463768114,5.72660629581716
2,2014Q3,2802.7083333333335,24528.583333333332,214726.54166666666,11833.041666666666,8096.583333333333,211.25,517.6666666666666,11.773014290461958,-11.346608817961812,0.075015913937726,-17.370874260974812,15.073668751184389,6.066945606694563,1.3459499143486209
3,2014Q4,2252.7083333333335,22091.916666666668,211856.5,13065.375,12290.958333333334,1379.875,634.5416666666666,-19.6238757154538,-9.933988577951569,-1.3366031252540767,10.41434119855067,51.8042589981371,553.1952662721894,22.577269800386347
4,2015Q1,2908.9166666666665,21955.666666666668,213392.625,14030.0,15744.0,967.2083333333334,681.125,29.129751225376843,-0.616741417486788,0.7250780599131978,7.38306401461879,28.094161358451153,-29.90609052752362,7.341256812660069
5,2015Q2,2985.6666666666665,20245.125,214101.29166666666,26999.833333333332,18994.75,1371.0416666666667,772.0416666666666,2.6384392815194557,-7.790889216147701,0.33209520088459676,92.44357329531954,20.64754827235773,41.752466290440694,13.348014926286167
6,2015Q3,2940.4583333333335,17270.208333333332,211991.75,29416.375,23481.708333333332,1782.25,861.5416666666666,-1.5141788545271706,-14.694484063035762,-0.9853007659341828,8.950209569194879,23.62209733391243,29.992402370460415,11.592638566571312
7,2015Q4,2868.2916666666665,14338.958333333334,210401.66666666666,20315.208333333332,26151.083333333332,1892.625,923.75,-2.4542659165946445,-16.972869947042703,-0.7500684971624372,-30.93911696008318,11.367890964775773,6.193014448029177,7.220583256758717
8,2016Q1,2286.7083333333335,13038.708333333334,206014.91666666666,30781.0,26780.625,2516.5416666666665,974.1666666666666,-20.276296866601772,-9.067952983567496,-2.084940708644578,51.517028498764276,2.407325381676362,32.96567818065736,5.457825890843471
9,2016Q2,2943.6666666666665,14101.958333333334,210770.04166666666,30261.125,23321.833333333332,4230.25,1209.1666666666667,28.729432772726437,8.154565412601578,2.308145971630693,-1.6889477274942388,-12.915276124685915,68.09775319966225,24.123182207014548
10,2016Q3,1603.7916666666667,12431.833333333334,200670.04166666666,24966.083333333332,37928.708333333336,3324.5416666666665,1292.5833333333333,-45.517212093760605,-11.84321326529708,-4.791952366728269,-17.4978348183244,62.631761368102865,-21.410279140318742,6.898690558235687
11,2016Q4,2225.5,8828.666666666666,194722.45833333334,41016.125,43425.208333333336,7441.041666666667,1607.9166666666667,38.764906081941234,-28.9833894169538,-2.9638621111231167,64.28738321656382,14.491661439389025,123.82157941570897,24.39559022629103
12,2017Q1,2221.4166666666665,9255.083333333334,191022.25,41390.75,26998.916666666668,9240.958333333334,1999.5833333333333,-0.18347936793230435,4.829910141206684,-1.9002473392150665,0.9133602942745123,-37.82662719906352,24.189041632835906,24.358642135268195
13,2017Q2,2418.4166666666665,9480.666666666666,184002.70833333334,28887.458333333332,55786.541666666664,10085.541666666666,4109.791666666667,8.868214727838852,2.437399267069429,-3.674724628500947,-30.20793695853945,106.62511150138738,9.139564348935657,105.53240258387166
14,2017Q3,2097.9583333333335,9239.958333333334,169259.41666666666,44968.5,48484.375,15266.458333333334,10241.25,-13.250749457289535,-2.5389388931861157,-8.01254057628229,55.667900862398476,-13.089477226063329,51.36974133764094,149.19146347645355
15,2017Q4,1643.7083333333333,9054.833333333334,157214.95833333334,31845.083333333332,54234.541666666664,14070.083333333334,14064.958333333334,-21.652002939365666,-2.0035263506779866,-7.1159753297822315,-29.18357665180441,11.859834568696947,-7.83662440808417,37.33634403352455
16,2018Q1,986.6666666666666,8870.25,136363.5,37045.375,78516.91666666667,35992.833333333336,16582.375,-39.97312986387488,-2.038506138526397,-13.263024431252434,16.329967211055617,44.77289611709636,155.81108853892124,17.898500706543153
17,2018Q2,1128.5833333333333,9023.708333333334,138202.83333333334,39780.75,72526.45833333333,41838.791666666664,18516.291666666668,14.383445945945939,1.7300339148652366,1.3488457932902431,7.383850210721321,-7.629512960582819,16.242006510555317,11.662483007812007
18,2018Q3,1383.2083333333333,9136.833333333334,141719.875,34289.75,43780.791666666664,50295.916666666664,21865.708333333332,22.56147087056044,1.2536420263287829,2.544840494104683,-13.803158562872742,-39.63473100334074,20.21359762819792,18.08902520528093
19,2018Q4,6350.083333333333,8355.416666666666,139082.58333333334,37366.916666666664,60801.375,71013.25,24982.458333333332,359.0836521372413,-8.552379562576395,-1.8609187078852951,8.974013128315782,38.876828593970544,41.190885277300524,14.25405457937372
20,2019Q1,7507.166666666667,7039.166666666667,142864.95833333334,35913.708333333336,60312.291666666664,52332.791666666664,47447.0,18.221545649007243,-15.753253877225347,2.7195173610882195,-3.889023936057512,-0.8043951856900211,-26.30559555200379,89.9212614184286
21,2019Q2,9124.958333333334,5122.666666666667,143519.08333333334,35972.458333333336,48102.791666666664,51683.833333333336,69909.58333333333,21.549963368336922,-27.22623416597608,0.45786245110839285,0.16358655991386417,-20.243800496720198,-1.2400606057228258,47.34247335623607
22,2019Q3,1701.375,5034.916666666667,137880.70833333334,40105.666666666664,33777.875,47978.75,96454.08333333333,-81.35470938223463,-1.7129750130140509,-3.928658732375312,11.489924583506571,-29.779803147253237,-7.168747158202282,37.96975855718399
23,2019Q4,2965.6666666666665,1748.625,116346.125,41559.916666666664,31581.125,17026.791666666668,117947.75,74.30999436730094,-65.2700309505288,-15.618271470779243,3.6260461946358458,-6.503517465204666,-64.51180644208807,22.2838328081842
24,2020Q1,2975.9166666666665,4360.166666666667,110409.125,42205.916666666664,30038.125,15166.666666666666,145870.08333333334,0.3456221198156584,149.34829747182312,-5.102877298234043,1.5543823275231183,-4.8858297479903,-10.924694660131228,23.673476885598355
25,2020Q2,3020.9166666666665,3972.0,110479.25,41205.708333333336,28564.791666666668,19888.75,154645.79166666666,1.5121391167987497,-8.902564886663356,0.063513772072743,-2.369829664482259,-4.904877828870246,31.134615384615394,6.016112511075766
26,2020Q3,3020.9166666666665,3811.6666666666665,109916.0,32457.916666666668,32279.5,23720.166666666668,168894.20833333334,0.0,-4.036589459550188,-0.5098242430139566,-21.22956265161482,13.00450000364668,19.26424067207173,9.213581897772304
27,2020Q4,2610.375,3891.8333333333335,109276.58333333333,42176.791666666664,31089.916666666668,23945.75,176634.875,-13.589969931863944,2.103191954525596,-0.5817321105814233,29.94300311942386,-3.68525947840993,0.9510191749636299,4.583145119689069
28,2021Q1,2600.7916666666665,3682.6666666666665,108061.54166666667,33896.75,30747.083333333332,25436.0,182498.54166666666,-0.36712477453750836,-5.374502162648287,-1.111895732464785,-19.631748503076828,-1.1027155106559272,6.223442573316773,3.3196539849034146
29,2021Q2,2791.3333333333335,3764.75,105469.625,45031.5,25453.791666666668,27812.791666666668,194220.45833333334,7.326294878162121,2.2289102099927627,-2.398556069708735,32.849019448767216,-17.215589554564794,9.344203753210678,6.423019362026872
30,2021Q3,2791.7916666666665,3531.0416666666665,106259.54166666667,37778.416666666664,26094.166666666668,20502.375,206173.91666666666,0.0164198710293606,-6.207804856453514,0.7489518111652327,-16.10668828116615,2.5158334301863983,-26.284368553438398,6.1545824965658635
31,2021Q4,3009.625,3034.875,58883.666666666664,51888.875,37475.75,23363.541666666668,251346.75,7.8026357028789795,-14.051566464098176,-44.585054910755076,37.35058157104696,43.61734742758598,13.955293797263323,21.910062176471577
32,2022Q1,2690.875,5575.458333333333,52636.375,42737.916666666664,39072.333333333336,21848.916666666668,264007.7916666667,-10.591020475972924,83.71294808956986,-10.609549337394064,-17.63568459199267,4.26031055638203,-6.482857015471044,5.0372808348095655
33,2022Q2,2538.2916666666665,5245.625,49712.083333333336,49138.25,33680.083333333336,20980.333333333332,280913.4166666667,-5.670398414394329,-5.9158066227739114,-5.555647908251027,14.975772879273874,-13.800685907334264,-3.9754068660917685,6.403456842419586
34,2022Q3,2511.0416666666665,5660.416666666667,48390.416666666664,45638.083333333336,33933.208333333336,15552.208333333334,291489.5833333333,-1.07355669003103,7.907383136740931,-2.6586426841227473,-7.123099961163993,0.7515569290456048,-25.872444034889806,3.7649204485011634
